Day,Profit
161,-6.468366991
363,-6.229769067
329,-6.095135055
258,-5.795325948
339,-5.307808118
40,-5.278531291
113,-4.609312964
98,-3.448713692
111,-2.604512184
59,-2.378853148
371,-2.318675346
484,-2.207611934
333,-2.203859658
138,-2.188388208
308,-2.058550566
47,-1.987088973
410,-1.893167462
19,-1.767693441
279,-1.703375695
429,-1.701199232
398,-1.652006839
489,-1.415966734
134,-1.374303054
198,-1.239392745
173,-1.144952417
260,-1.144344366
359,-1.061673079
112,-0.860500445
436,-0.858655404
222,-0.73705451
25,-0.702296253
46,-0.667600899
345,-0.498194357
85,-0.461626983
143,-0.445792117
459,-0.224168093
170,-0.194187103
328,-0.185402965
500,-0.169348707
130,-0.144742195
380,-0.126874961
109,-0.117809912
61,-0.099623711
468,-0.039404054
416,-0.035580888
71,-0.013496248
457,0.082306512
466,0.083296881
67,0.095304106
117,0.12790296
470,0.172047
146,0.175687626
294,0.186786549
65,0.227184212
364,0.249053743
476,0.261924608
136,0.266277127
189,0.315278792
255,0.326121036
12,0.334183106
204,0.374659534
203,0.375917885
319,0.404471868
340,0.437233929
33,0.529481584
196,0.549566469
78,0.556947903
286,0.561844545
350,0.585675436
172,0.61958655
81,0.633188255
392,0.65995367
317,0.670152865
490,0.760238574
283,0.774086873
251,0.843652841
331,0.85832324
487,0.868402008
193,0.879986801
499,0.898434483
356,0.963085149
238,0.978112087
158,1.037362878
261,1.092776614
334,1.097478146
341,1.10619299
102,1.172248502
469,1.210368261
11,1.259446897
393,1.262143203
229,1.266898221
239,1.289755512
168,1.325918671
236,1.326959516
87,1.370714838
373,1.380459761
289,1.391699223
456,1.467703783
379,1.483456545
1,1.484090156
253,1.525094379
68,1.529550635
50,1.553810733
330,1.578057368
13,1.584884557
404,1.585795431
144,1.593155752
187,1.616962385
9,1.618138467
29,1.644778233
479,1.688629325
192,1.69691171
369,1.743695236
406,1.743861057
24,1.766193042
414,1.802052818
150,1.807898497
376,1.857837535
97,1.87536876
180,1.880297965
249,1.970452398
443,2.004464747
386,2.00759589
62,2.136537327
200,2.153863536
36,2.157311999
252,2.189553059
486,2.263247152
